starting_number,sequence_length,max_value,steps_to_peak,total_steps,peak_value,execution_time,timestamp
1,1,1,0,0,1,2.1457672119140625e-06,2025-09-02 21:49:00.204374
2,2,2,0,1,2,1.9073486328125e-06,2025-09-02 21:49:00.204404
3,8,16,3,7,16,3.0994415283203125e-06,2025-09-02 21:49:00.204415
4,3,4,0,2,4,1.1920928955078125e-06,2025-09-02 21:49:00.204420
5,6,16,1,5,16,9.5367431640625e-07,2025-09-02 21:49:00.204424
6,9,16,4,8,16,5.7220458984375e-06,2025-09-02 21:49:00.204434
7,17,52,5,16,52,4.0531158447265625e-06,2025-09-02 21:49:00.204441
8,4,8,0,3,8,0.0,2025-09-02 21:49:00.204448
9,20,52,8,19,52,3.814697265625e-06,2025-09-02 21:49:00.204455
10,7,16,2,6,16,9.5367431640625e-07,2025-09-02 21:49:00.204460
11,15,52,3,14,52,3.0994415283203125e-06,2025-09-02 21:49:00.204465
12,10,16,5,9,16,1.9073486328125e-06,2025-09-02 21:49:00.204470
13,10,40,1,9,40,1.9073486328125e-06,2025-09-02 21:49:00.204474
14,18,52,6,17,52,4.0531158447265625e-06,2025-09-02 21:49:00.204486
15,18,160,7,17,160,4.0531158447265625e-06,2025-09-02 21:49:00.204498
16,5,16,0,4,16,9.5367431640625e-07,2025-09-02 21:49:00.204501
17,13,52,1,12,52,2.1457672119140625e-06,2025-09-02 21:49:00.204507
18,21,52,9,20,52,2.86102294921875e-06,2025-09-02 21:49:00.204514
19,21,88,3,20,88,4.0531158447265625e-06,2025-09-02 21:49:00.204524
20,8,20,0,7,20,1.1920928955078125e-06,2025-09-02 21:49:00.204527
21,8,64,1,7,64,2.1457672119140625e-06,2025-09-02 21:49:00.204532
22,16,52,4,15,52,1.9073486328125e-06,2025-09-02 21:49:00.204537
23,16,160,5,15,160,2.1457672119140625e-06,2025-09-02 21:49:00.204543
24,11,24,0,10,24,1.9073486328125e-06,2025-09-02 21:49:00.204547
25,24,88,6,23,88,3.814697265625e-06,2025-09-02 21:49:00.204554
26,11,40,2,10,40,1.1920928955078125e-06,2025-09-02 21:49:00.204563
27,112,9232,77,111,9232,4.1961669921875e-05,2025-09-02 21:49:00.204612
28,19,52,7,18,52,3.0994415283203125e-06,2025-09-02 21:49:00.204619
29,19,88,1,18,88,2.1457672119140625e-06,2025-09-02 21:49:00.204625
30,19,160,8,18,160,1.9073486328125e-06,2025-09-02 21:49:00.204631
31,107,9232,72,106,9232,2.193450927734375e-05,2025-09-02 21:49:00.204658
32,6,32,0,5,32,2.1457672119140625e-06,2025-09-02 21:49:00.204662
33,27,100,1,26,100,3.814697265625e-06,2025-09-02 21:49:00.204669
34,14,52,2,13,52,2.1457672119140625e-06,2025-09-02 21:49:00.204674
35,14,160,3,13,160,1.6689300537109375e-06,2025-09-02 21:49:00.204679
36,22,52,10,21,52,4.0531158447265625e-06,2025-09-02 21:49:00.204685
37,22,112,1,21,112,2.86102294921875e-06,2025-09-02 21:49:00.204694
38,22,88,4,21,88,3.0994415283203125e-06,2025-09-02 21:49:00.204700
39,35,304,10,34,304,7.152557373046875e-06,2025-09-02 21:49:00.204710
40,9,40,0,8,40,1.9073486328125e-06,2025-09-02 21:49:00.204714
41,110,9232,75,109,9232,2.5033950805664062e-05,2025-09-02 21:49:00.204744
42,9,64,2,8,64,9.5367431640625e-07,2025-09-02 21:49:00.204748
43,30,196,3,29,196,4.76837158203125e-06,2025-09-02 21:49:00.204757
44,17,52,5,16,52,3.0994415283203125e-06,2025-09-02 21:49:00.204762
45,17,136,1,16,136,3.0994415283203125e-06,2025-09-02 21:49:00.204767
46,17,160,6,16,160,2.86102294921875e-06,2025-09-02 21:49:00.204773
47,105,9232,70,104,9232,2.5033950805664062e-05,2025-09-02 21:49:00.204804
48,12,48,0,11,48,2.1457672119140625e-06,2025-09-02 21:49:00.204809
49,25,148,1,24,148,3.0994415283203125e-06,2025-09-02 21:49:00.204815
50,25,88,7,24,88,7.152557373046875e-06,2025-09-02 21:49:00.204825
51,25,232,3,24,232,4.0531158447265625e-06,2025-09-02 21:49:00.204832
52,12,52,0,11,52,2.1457672119140625e-06,2025-09-02 21:49:00.204837
53,12,160,1,11,160,3.0994415283203125e-06,2025-09-02 21:49:00.204841
54,113,9232,78,112,9232,2.6941299438476562e-05,2025-09-02 21:49:00.204874
55,113,9232,78,112,9232,1.6927719116210938e-05,2025-09-02 21:49:00.204897
56,20,56,0,19,56,2.1457672119140625e-06,2025-09-02 21:49:00.204903
57,33,196,6,32,196,9.059906005859375e-06,2025-09-02 21:49:00.204914
58,20,88,2,19,88,3.0994415283203125e-06,2025-09-02 21:49:00.204920
59,33,304,8,32,304,5.245208740234375e-06,2025-09-02 21:49:00.204932
60,20,160,9,19,160,2.1457672119140625e-06,2025-09-02 21:49:00.204937
61,20,184,1,19,184,2.86102294921875e-06,2025-09-02 21:49:00.204943
62,108,9232,73,107,9232,1.621246337890625e-05,2025-09-02 21:49:00.204965
63,108,9232,73,107,9232,1.5974044799804688e-05,2025-09-02 21:49:00.204986
64,7,64,0,6,64,1.1920928955078125e-06,2025-09-02 21:49:00.204993
65,28,196,1,27,196,3.814697265625e-06,2025-09-02 21:49:00.205000
66,28,100,2,27,100,4.0531158447265625e-06,2025-09-02 21:49:00.205008
67,28,304,3,27,304,4.0531158447265625e-06,2025-09-02 21:49:00.205015
68,15,68,0,14,68,1.9073486328125e-06,2025-09-02 21:49:00.205023
69,15,208,1,14,208,3.0994415283203125e-06,2025-09-02 21:49:00.205028
70,15,160,4,14,160,2.86102294921875e-06,2025-09-02 21:49:00.205033
71,103,9232,68,102,9232,1.621246337890625e-05,2025-09-02 21:49:00.205053
72,23,72,0,22,72,3.0994415283203125e-06,2025-09-02 21:49:00.205059
73,116,9232,81,115,9232,1.7881393432617188e-05,2025-09-02 21:49:00.205083
74,23,112,2,22,112,4.0531158447265625e-06,2025-09-02 21:49:00.205089
75,15,340,3,14,340,3.0994415283203125e-06,2025-09-02 21:49:00.205094
76,23,88,5,22,88,2.86102294921875e-06,2025-09-02 21:49:00.205103
77,23,232,1,22,232,3.0994415283203125e-06,2025-09-02 21:49:00.205110
78,36,304,11,35,304,5.0067901611328125e-06,2025-09-02 21:49:00.205118
79,36,808,7,35,808,5.0067901611328125e-06,2025-09-02 21:49:00.205127
80,10,80,0,9,80,2.1457672119140625e-06,2025-09-02 21:49:00.205131
81,23,244,1,22,244,2.86102294921875e-06,2025-09-02 21:49:00.205138
82,111,9232,76,110,9232,1.811981201171875e-05,2025-09-02 21:49:00.205161
83,111,9232,76,110,9232,2.002716064453125e-05,2025-09-02 21:49:00.205186
84,10,84,0,9,84,1.9073486328125e-06,2025-09-02 21:49:00.205190
85,10,256,1,9,256,5.245208740234375e-06,2025-09-02 21:49:00.205198
86,31,196,4,30,196,4.0531158447265625e-06,2025-09-02 21:49:00.205204
87,31,592,5,30,592,5.245208740234375e-06,2025-09-02 21:49:00.205211
88,18,88,0,17,88,2.1457672119140625e-06,2025-09-02 21:49:00.205216
89,31,304,6,30,304,3.814697265625e-06,2025-09-02 21:49:00.205224
90,18,136,2,17,136,3.0994415283203125e-06,2025-09-02 21:49:00.205229
91,93,9232,58,92,9232,1.6927719116210938e-05,2025-09-02 21:49:00.205250
92,18,160,7,17,160,5.7220458984375e-06,2025-09-02 21:49:00.205259
93,18,280,1,17,280,3.0994415283203125e-06,2025-09-02 21:49:00.205264
94,106,9232,71,105,9232,1.6927719116210938e-05,2025-09-02 21:49:00.205316
95,106,9232,71,105,9232,1.5974044799804688e-05,2025-09-02 21:49:00.205338
96,13,96,0,12,96,5.0067901611328125e-06,2025-09-02 21:49:00.205345
97,119,9232,84,118,9232,1.7881393432617188e-05,2025-09-02 21:49:00.205369
98,26,148,2,25,148,3.814697265625e-06,2025-09-02 21:49:00.205375
99,26,448,3,25,448,4.291534423828125e-06,2025-09-02 21:49:00.205381
100,26,100,0,25,100,4.291534423828125e-06,2025-09-02 21:49:00.205388
101,26,304,1,25,304,5.0067901611328125e-06,2025-09-02 21:49:00.205433
102,26,232,4,25,232,4.0531158447265625e-06,2025-09-02 21:49:00.205441
103,88,9232,53,87,9232,1.3828277587890625e-05,2025-09-02 21:49:00.205459
104,13,104,0,12,104,2.86102294921875e-06,2025-09-02 21:49:00.205464
105,39,808,10,38,808,5.9604644775390625e-06,2025-09-02 21:49:00.205472
106,13,160,2,12,160,1.9073486328125e-06,2025-09-02 21:49:00.205477
107,101,9232,66,100,9232,1.71661376953125e-05,2025-09-02 21:49:00.205498
108,114,9232,79,113,9232,1.71661376953125e-05,2025-09-02 21:49:00.205521
109,114,9232,79,113,9232,1.71661376953125e-05,2025-09-02 21:49:00.205542
110,114,9232,79,113,9232,3.314018249511719e-05,2025-09-02 21:49:00.205583
111,70,9232,35,69,9232,9.775161743164062e-06,2025-09-02 21:49:00.205597
112,21,112,0,20,112,4.0531158447265625e-06,2025-09-02 21:49:00.205603
113,13,340,1,12,340,1.9073486328125e-06,2025-09-02 21:49:00.205607
114,34,196,7,33,196,6.198883056640625e-06,2025-09-02 21:49:00.205615
115,34,520,3,33,520,4.76837158203125e-06,2025-09-02 21:49:00.205622
116,21,116,0,20,116,2.86102294921875e-06,2025-09-02 21:49:00.205628
117,21,352,1,20,352,3.0994415283203125e-06,2025-09-02 21:49:00.205633
118,34,304,9,33,304,4.76837158203125e-06,2025-09-02 21:49:00.205641
119,34,808,5,33,808,5.0067901611328125e-06,2025-09-02 21:49:00.205648
120,21,160,10,20,160,2.1457672119140625e-06,2025-09-02 21:49:00.205653
121,96,9232,61,95,9232,1.4066696166992188e-05,2025-09-02 21:49:00.205673
122,21,184,2,20,184,3.0994415283203125e-06,2025-09-02 21:49:00.205678
123,47,628,8,46,628,6.9141387939453125e-06,2025-09-02 21:49:00.205688
124,109,9232,74,108,9232,1.6689300537109375e-05,2025-09-02 21:49:00.205710
125,109,9232,74,108,9232,1.5735626220703125e-05,2025-09-02 21:49:00.205731
126,109,9232,74,108,9232,1.5974044799804688e-05,2025-09-02 21:49:00.205752
127,47,4372,13,46,4372,6.9141387939453125e-06,2025-09-02 21:49:00.205762
128,8,128,0,7,128,1.9073486328125e-06,2025-09-02 21:49:00.205766
129,122,9232,87,121,9232,1.7881393432617188e-05,2025-09-02 21:49:00.205792
130,29,196,2,28,196,4.76837158203125e-06,2025-09-02 21:49:00.205801
131,29,592,3,28,592,4.0531158447265625e-06,2025-09-02 21:49:00.205807
132,29,132,0,28,132,4.0531158447265625e-06,2025-09-02 21:49:00.205814
133,29,400,1,28,400,4.76837158203125e-06,2025-09-02 21:49:00.205821
134,29,304,4,28,304,4.0531158447265625e-06,2025-09-02 21:49:00.205828
135,42,916,5,41,916,5.9604644775390625e-06,2025-09-02 21:49:00.205836
136,16,136,0,15,136,2.86102294921875e-06,2025-09-02 21:49:00.205841
137,91,9232,56,90,9232,1.5974044799804688e-05,2025-09-02 21:49:00.205861
138,16,208,2,15,208,2.1457672119140625e-06,2025-09-02 21:49:00.205865
139,42,628,3,41,628,6.9141387939453125e-06,2025-09-02 21:49:00.205874
140,16,160,5,15,160,3.0994415283203125e-06,2025-09-02 21:49:00.205879
141,16,424,1,15,424,2.6226043701171875e-06,2025-09-02 21:49:00.205883
142,104,9232,69,103,9232,1.5020370483398438e-05,2025-09-02 21:49:00.205903
143,104,9232,69,103,9232,1.4066696166992188e-05,2025-09-02 21:49:00.205922
144,24,144,0,23,144,2.86102294921875e-06,2025-09-02 21:49:00.205928
145,117,9232,82,116,9232,1.71661376953125e-05,2025-09-02 21:49:00.205950
146,117,9232,82,116,9232,1.6927719116210938e-05,2025-09-02 21:49:00.205972
147,117,9232,82,116,9232,1.811981201171875e-05,2025-09-02 21:49:00.205995
148,24,148,0,23,148,4.0531158447265625e-06,2025-09-02 21:49:00.206001
149,24,448,1,23,448,3.0994415283203125e-06,2025-09-02 21:49:00.206006
150,16,340,4,15,340,5.9604644775390625e-06,2025-09-02 21:49:00.206015
151,16,1024,5,15,1024,3.0994415283203125e-06,2025-09-02 21:49:00.206020
152,24,152,0,23,152,2.86102294921875e-06,2025-09-02 21:49:00.206025
153,37,520,6,36,520,4.76837158203125e-06,2025-09-02 21:49:00.206033
154,24,232,2,23,232,3.0994415283203125e-06,2025-09-02 21:49:00.206039
155,86,9232,51,85,9232,1.2874603271484375e-05,2025-09-02 21:49:00.206057
156,37,304,12,36,304,6.198883056640625e-06,2025-09-02 21:49:00.206065
157,37,472,1,36,472,6.198883056640625e-06,2025-09-02 21:49:00.206073
158,37,808,8,36,808,5.9604644775390625e-06,2025-09-02 21:49:00.206082
159,55,9232,20,54,9232,7.867813110351562e-06,2025-09-02 21:49:00.206093
160,11,160,0,10,160,1.9073486328125e-06,2025-09-02 21:49:00.206097
161,99,9232,64,98,9232,1.52587890625e-05,2025-09-02 21:49:00.206116
162,24,244,2,23,244,3.0994415283203125e-06,2025-09-02 21:49:00.206122
163,24,736,3,23,736,4.0531158447265625e-06,2025-09-02 21:49:00.206128
164,112,9232,77,111,9232,1.6927719116210938e-05,2025-09-02 21:49:00.206150
165,112,9232,77,111,9232,1.71661376953125e-05,2025-09-02 21:49:00.206171
166,112,9232,77,111,9232,1.621246337890625e-05,2025-09-02 21:49:00.206192
167,68,9232,33,67,9232,1.0967254638671875e-05,2025-09-02 21:49:00.206206
168,11,168,0,10,168,1.9073486328125e-06,2025-09-02 21:49:00.206210
169,50,4372,16,49,4372,6.9141387939453125e-06,2025-09-02 21:49:00.206221
170,11,256,2,10,256,1.9073486328125e-06,2025-09-02 21:49:00.206225
171,125,9232,90,124,9232,1.9311904907226562e-05,2025-09-02 21:49:00.206249
172,32,196,5,31,196,4.0531158447265625e-06,2025-09-02 21:49:00.206255
173,32,520,1,31,520,4.0531158447265625e-06,2025-09-02 21:49:00.206262
174,32,592,6,31,592,4.0531158447265625e-06,2025-09-02 21:49:00.206270
175,81,9232,46,80,9232,1.1205673217773438e-05,2025-09-02 21:49:00.206286
176,19,176,0,18,176,2.86102294921875e-06,2025-09-02 21:49:00.206291
177,32,532,1,31,532,5.245208740234375e-06,2025-09-02 21:49:00.206298
178,32,304,7,31,304,4.0531158447265625e-06,2025-09-02 21:49:00.206305
179,32,808,3,31,808,5.0067901611328125e-06,2025-09-02 21:49:00.206312
180,19,180,0,18,180,3.0994415283203125e-06,2025-09-02 21:49:00.206316
181,19,544,1,18,544,2.86102294921875e-06,2025-09-02 21:49:00.206321
182,94,9232,59,93,9232,1.4066696166992188e-05,2025-09-02 21:49:00.206340
183,94,9232,59,93,9232,1.2874603271484375e-05,2025-09-02 21:49:00.206358
184,19,184,0,18,184,2.86102294921875e-06,2025-09-02 21:49:00.206363
185,45,628,6,44,628,6.198883056640625e-06,2025-09-02 21:49:00.206371
186,19,280,2,18,280,1.6689300537109375e-06,2025-09-02 21:49:00.206376
187,45,952,8,44,952,7.152557373046875e-06,2025-09-02 21:49:00.206385
188,107,9232,72,106,9232,1.5020370483398438e-05,2025-09-02 21:49:00.206405
189,107,9232,72,106,9232,1.52587890625e-05,2025-09-02 21:49:00.206425
190,107,9232,72,106,9232,1.5735626220703125e-05,2025-09-02 21:49:00.206446
191,45,4372,11,44,4372,6.9141387939453125e-06,2025-09-02 21:49:00.206455
192,14,192,0,13,192,9.5367431640625e-07,2025-09-02 21:49:00.206459
193,120,9232,85,119,9232,1.71661376953125e-05,2025-09-02 21:49:00.206482
194,120,9232,85,119,9232,1.71661376953125e-05,2025-09-02 21:49:00.206504
195,120,9232,85,119,9232,1.71661376953125e-05,2025-09-02 21:49:00.206526
196,27,196,0,26,196,3.0994415283203125e-06,2025-09-02 21:49:00.206532
197,27,592,1,26,592,3.0994415283203125e-06,2025-09-02 21:49:00.206539
198,27,448,4,26,448,3.814697265625e-06,2025-09-02 21:49:00.206545
199,120,9232,85,119,9232,2.7179718017578125e-05,2025-09-02 21:49:00.206578
200,27,200,0,26,200,4.0531158447265625e-06,2025-09-02 21:49:00.206584
201,19,1024,8,18,1024,3.0994415283203125e-06,2025-09-02 21:49:00.206631
202,27,304,2,26,304,4.291534423828125e-06,2025-09-02 21:49:00.206638
203,40,916,3,39,916,4.76837158203125e-06,2025-09-02 21:49:00.206647
204,27,232,5,26,232,3.814697265625e-06,2025-09-02 21:49:00.206653
205,27,616,1,26,616,4.291534423828125e-06,2025-09-02 21:49:00.206659
206,89,9232,54,88,9232,1.5020370483398438e-05,2025-09-02 21:49:00.206678
207,89,9232,54,88,9232,1.4066696166992188e-05,2025-09-02 21:49:00.206696
208,14,208,0,13,208,2.1457672119140625e-06,2025-09-02 21:49:00.206701
209,40,628,1,39,628,5.9604644775390625e-06,2025-09-02 21:49:00.206710
210,40,808,11,39,808,4.76837158203125e-06,2025-09-02 21:49:00.206718
211,40,952,3,39,952,6.198883056640625e-06,2025-09-02 21:49:00.206726
212,14,212,0,13,212,2.86102294921875e-06,2025-09-02 21:49:00.206731
213,14,640,1,13,640,2.1457672119140625e-06,2025-09-02 21:49:00.206735
214,102,9232,67,101,9232,1.621246337890625e-05,2025-09-02 21:49:00.206755
215,102,9232,67,101,9232,3.2901763916015625e-05,2025-09-02 21:49:00.206794
216,115,9232,80,114,9232,1.5735626220703125e-05,2025-09-02 21:49:00.206817
217,27,736,6,26,736,2.86102294921875e-06,2025-09-02 21:49:00.206824
218,115,9232,80,114,9232,1.71661376953125e-05,2025-09-02 21:49:00.206846
219,53,1672,10,52,1672,6.9141387939453125e-06,2025-09-02 21:49:00.206857
220,115,9232,80,114,9232,1.5735626220703125e-05,2025-09-02 21:49:00.206879
221,115,9232,80,114,9232,1.5974044799804688e-05,2025-09-02 21:49:00.206900
222,71,9232,36,70,9232,1.0967254638671875e-05,2025-09-02 21:49:00.206915
223,71,9232,36,70,9232,1.0013580322265625e-05,2025-09-02 21:49:00.206928
224,22,224,0,21,224,3.0994415283203125e-06,2025-09-02 21:49:00.206934
225,53,4372,19,52,4372,8.106231689453125e-06,2025-09-02 21:49:00.206945
226,14,340,2,13,340,1.9073486328125e-06,2025-09-02 21:49:00.206949
227,14,1024,3,13,1024,2.1457672119140625e-06,2025-09-02 21:49:00.206954
228,35,228,0,34,228,5.245208740234375e-06,2025-09-02 21:49:00.206961
229,35,688,1,34,688,6.198883056640625e-06,2025-09-02 21:49:00.206969
230,35,520,4,34,520,4.76837158203125e-06,2025-09-02 21:49:00.206976
231,128,9232,93,127,9232,1.8835067749023438e-05,2025-09-02 21:49:00.207001
232,22,232,0,21,232,2.86102294921875e-06,2025-09-02 21:49:00.207006
233,84,9232,49,83,9232,1.3113021850585938e-05,2025-09-02 21:49:00.207023
234,22,352,2,21,352,4.0531158447265625e-06,2025-09-02 21:49:00.207031
235,128,9232,93,127,9232,1.9073486328125e-05,2025-09-02 21:49:00.207056
236,35,304,10,34,304,5.0067901611328125e-06,2025-09-02 21:49:00.207064
237,35,712,1,34,712,4.76837158203125e-06,2025-09-02 21:49:00.207071
238,35,808,6,34,808,5.0067901611328125e-06,2025-09-02 21:49:00.207079
239,53,9232,18,52,9232,8.344650268554688e-06,2025-09-02 21:49:00.207090
240,22,240,0,21,240,1.9073486328125e-06,2025-09-02 21:49:00.207095
241,22,724,1,21,724,3.814697265625e-06,2025-09-02 21:49:00.207101
242,97,9232,62,96,9232,1.5020370483398438e-05,2025-09-02 21:49:00.207120
243,97,9232,62,96,9232,1.4066696166992188e-05,2025-09-02 21:49:00.207139
244,22,244,0,21,244,2.6226043701171875e-06,2025-09-02 21:49:00.207145
245,22,736,1,21,736,3.0994415283203125e-06,2025-09-02 21:49:00.207150
246,48,628,9,47,628,6.9141387939453125e-06,2025-09-02 21:49:00.207160
247,48,1672,5,47,1672,6.9141387939453125e-06,2025-09-02 21:49:00.207170
248,110,9232,75,109,9232,1.5974044799804688e-05,2025-09-02 21:49:00.207191
249,48,952,11,47,952,6.67572021484375e-06,2025-09-02 21:49:00.207201
250,110,9232,75,109,9232,1.5735626220703125e-05,2025-09-02 21:49:00.207222
251,66,9232,31,65,9232,8.821487426757812e-06,2025-09-02 21:49:00.207235
252,110,9232,75,109,9232,1.5020370483398438e-05,2025-09-02 21:49:00.207256
253,110,9232,75,109,9232,1.4781951904296875e-05,2025-09-02 21:49:00.207277
254,48,4372,14,47,4372,6.9141387939453125e-06,2025-09-02 21:49:00.207288
255,48,13120,15,47,13120,5.9604644775390625e-06,2025-09-02 21:49:00.207297
